product_name,color,bubble_fineness,nose_primary,palate_attack,aging_potential,raw_text
Cuvée Royale Brut,,,"Un premier nez discret, fin et d’une belle complexité aromatique. Un bouquet fruité de pommes, poires et pêches.","La bouche allie complexité et légèreté, corpulence et fraîcheur. Les notes florales de fleurs blanches laissent place en fin de bouche à des arômes fruités de pêches",3 À 5 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | La Cuvée Royale Brut est dotée d’une robe d’un or jaune pâle, teintée de reflets cuivrés et d’une superbe intensité. | AU NEZ | Un premier nez discret, fin et d’une belle complexité aromatique. Un bouquet fruité de pommes, poires et pêches. | EN BOUCHE | La bouche allie complexité et légèreté, corpulence et fraîcheur. Les notes florales de fleurs blanches laissent place en fin de bouche à des arômes fruités de pêches | ACCORDS METS & VINS | La Cuvée Royale Brut se déguste de préférence à l’apéritif et peut aussi être l’unique vin d’un repas. Idéale avec un gravlax de saumon ou de copeaux de parmesan."
Cuvée Royale Brut Nature,,,De délicats arômes floraux de rose et de pivoine ressortent et se poursuivent avec d’intenses fragrances épicées.,"L’attaque est vive avec des arômes de fruits blancs (pomme, poire) et de fruits jaunes (pêche, brugnon) mêlés à la fin par des saveurs poivrées.",3 À 5 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | La Cuvée Royale Brut Nature arbore une robe d’un or vermeil soutenu, avec une mousse fine. | AU NEZ | De délicats arômes floraux de rose et de pivoine ressortent et se poursuivent avec d’intenses fragrances épicées. | EN BOUCHE | L’attaque est vive avec des arômes de fruits blancs (pomme, poire) et de fruits jaunes (pêche, brugnon) mêlés à la fin par des saveurs poivrées. | ACCORDS METS & VINS | Parfait lors d’un apéritif plein de fraîcheur. Ce vin accompagne aussi parfaitement les poissons crus et les crustacés."
Cuvée Royale Blanc de Blancs,,,Le premier nez est floral puis viennent s’entremêler des notes d’abricot et de mirabelle.,"Attaque vive, ample et fraîche, suivie de belles saveurs acidulées d’agrumes pressés.",3 À 5 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | La robe est jaune pâle brillante et parsemée de délicates teintes vertes. | AU NEZ | Le premier nez est floral puis viennent s’entremêler des notes d’abricot et de mirabelle. | EN BOUCHE | Attaque vive, ample et fraîche, suivie de belles saveurs acidulées d’agrumes pressés. | ACCORDS METS & VINS | À l’apéritif avec des mises-en-bouche inventives, en début de repas avec des mets légers et raffinés, un carpaccio de bar, un céviche de dorade."
Cuvée Royale Brut Rosé,,,"Le premier nez révèle des arômes gourmands de fruits rouges : cerise, griotte, groseille.","La bouche est droite, tout en finesse. Des saveurs de fraises des bois relevées par des notes mentholées donnent à ce vin à la fois une fraîcheur et une douceur très",3 À 5 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | La robe rose est élégante et parsemée de reflets dorés. Effervescence très délicate, vive et régulière. | AU NEZ | Le premier nez révèle des arômes gourmands de fruits rouges : cerise, griotte, | groseille. | EN BOUCHE | La bouche est droite, tout en finesse. Des saveurs de fraises des bois relevées par des notes mentholées donnent à ce vin à la fois une fraîcheur et une douceur très | ACCORDS METS & VINS | La Cuvée Royale Rosé donne le ton à vos apéritifs mais elle accompagne également très bien vos repas à base de viandes blanches ou encore vos desserts peu sucrés."
Cuvée Royale Vintage 2018,,,"Ce vin séduit par son caractère subtil et suave, où les notes exotiques prédominent avec élégance. À l’aération, il dévoile un bouquet floral délicat.","L’attaque est vive, aux saveurs citronnées. La bouche est ensuite marquée par un mélange d’effluves de fleurs printanières, de tilleul. La finale est longue.",5 À 8 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | La Cuvée Royale Vintage 2018 se pare d'une robe d’un doré étincelant, révélant une brillance subtile qui magnifie l’élégance de ce millésime. | AU NEZ | Ce vin séduit par son caractère subtil et suave, où les notes exotiques prédominent avec élégance. À l’aération, il dévoile un bouquet floral délicat. | EN BOUCHE | L’attaque est vive, aux saveurs citronnées. La bouche est ensuite marquée par un mélange d’effluves de fleurs printanières, de tilleul. La finale est longue. | ACCORDS METS & VINS | Volaille de Bresse rôtie aux herbes, sur son risotto crémeux au parmesan. Mais également avec une escalope de veau à la crème et poivre blanc."
Cuvée Royale Demi-Sec,,,"Au nez, un parfum de jonquilles, d’iris et de volutes de génoise. À l’agitation, ce vin s’ouvre sur des notes sucrées.","En bouche, la Cuvée Royale Demi-Sec apporte une grande générosité avec des flaveurs de pêche jaune, de confiture d’abricot, de brioche toastée.",3 À 5 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | Paré d’or clair, ce vin a une effervescence gracile, un cordon régulier, une belle couronne. | AU NEZ | Au nez, un parfum de jonquilles, d’iris et de volutes de génoise. À l’agitation, ce vin s’ouvre sur des notes sucrées. | EN BOUCHE | En bouche, la Cuvée Royale Demi-Sec apporte une grande générosité avec des flaveurs de pêche jaune, de confiture d’abricot, de brioche toastée. | ACCORDS METS & VINS | La cuvée parfaite pour vos associations sucrées salées qui saura également accompagner vos plats recherchés d’ailleurs: canard laqué, curry d’agneau."
Le Ciergelot 2020,,,"Une gourmandise de fruits rouges, de grenadine, évoluant à l’aération sur des senteurs de violette relevées par des notes d’eucalyptus.","L’attaque est douce et soyeuse, se prolongeant sur une belle évolution du meunier au travers de notes de fruits jaunes, et offrant une finale enrobant le palais",3 À 5 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | Légèrement rosée, teintée par la couleur de la peau de nos meuniers ! | AU NEZ | Une gourmandise de fruits rouges, de grenadine, évoluant à l’aération sur des senteurs de violette relevées par des notes d’eucalyptus. | EN BOUCHE | L’attaque est douce et soyeuse, se prolongeant sur une belle évolution du meunier au travers de notes de fruits jaunes, et offrant une finale enrobant le palais | ACCORDS METS & VINS | Osez l'accompagner d'un poêlée de coques agrémentée de salicornes et poireaux grillés. Il se mariera aussi à merveille à la chair goûteuse et délicate de l'écrevisse"
La Côte à Bras 2016,,,"Au nez, un parfum de jonquilles, d’iris et de volutes de génoise. À l’agitation, ce vin s’ouvre sur des notes sucrées","Attaque vive, ample et fraîche, suivie de belles saveurs acidulées d’agrumes pressés. Viennent ensuite des flaveurs épicées douces de cannelle et vanille avec des no",10 À 12 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | Une cuvée dont la robe aborde un or brillant. | AU NEZ | Au nez, un parfum de jonquilles, d’iris et de volutes de génoise. À l’agitation, ce vin s’ouvre sur des notes sucrées | EN BOUCHE | Attaque vive, ample et fraîche, suivie de belles saveurs acidulées d’agrumes pressés. Viennent ensuite des flaveurs épicées douces de cannelle et vanille avec des no | ACCORDS METS & VINS | À l’apéritif avec des mises-en-bouche inventives, en début de repas avec des mets légers et raffinés, un carpaccio de bar, un céviche de dorade."
Joséphine 2014,,,"Le nez est subtil et inspirant. Il révèle des arômes de fruits à coque séchés tels que la noisette légèrement grillée, nous invitant à la dégustation.","La bouche s’ouvre sur des saveurs de fruits blancs, de poires mûres et juteuses. Une gourmandise délicate saupoudrée de notes fleuries de muguet et de lys.",JUSQU'EN 2040,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | La robe de cette cuvée aborde un jaune or très brillant. | AU NEZ | Le nez est subtil et inspirant. Il révèle des arômes de fruits à coque séchés tels que la noisette légèrement grillée, nous invitant à la dégustation. | EN BOUCHE | La bouche s’ouvre sur des saveurs de fruits blancs, de poires mûres et juteuses. Une gourmandise délicate saupoudrée de notes fleuries de muguet et de lys. | ACCORDS METS & VINS | Joséphine 2014 accompagne à merveille un risotto de Saint-Jacques poêlées légèrement citronnées ou encore un tartare d’huître et de daurade."
Cuvée 200,,,"À la hauteur de l’événement, cette cuvée est d’une grande complexité. Généreuse et opulente, elle exprime pleinement notre terroir par sa minéralité.","D’une grande richesse, sa texture enrobe le palais d’arômes miellés. Puis des notes de framboises, de cassis, d’agrumes et de fruits tropicaux.",5 À 8 ANS,"NOTES DE DÉGUSTATION | PAR NATHALIE LAPLAIGE | À L’OEIL | Cette cuvée révèle une robe d’un or légèrement soutenu. Cette teinte dorée, éclatante et raffinée, témoigne de la qualité et de la maturité du vin. | AU NEZ | À la hauteur de l’événement, cette cuvée est d’une grande complexité. Généreuse et opulente, elle exprime pleinement notre terroir par sa minéralité. | EN BOUCHE | D’une grande richesse, sa texture enrobe le palais d’arômes miellés. Puis des notes de framboises, de cassis, d’agrumes et de fruits tropicaux. | ACCORDS METS & VINS | Carpaccio de Saint-Jacques avec une touche de citron vert et une huile d'olive infusée au yuzu. | Une caille rôtie au chou Pak-choï aux et shiitakés poêlés."
